Timestamp,eigenvector,pagerank,clustering,triangles,degree,degree_centrality,average_neighbor_degree,node_clique_number,number_of_cliques,nb_of_nodes,nb_of_edges,diameter,assortativity,percolation_limit,Evento,Label,Colector,Categoria
0,0.0012326342725530002,1.3986013986013971e-05,0.10253624236891601,1.907314685314685,3.50620979020979,4.90385850181092e-05,717.2506858502289,2.271300699300699,3.666083916083916,71500,125347,13,-0.122146015806098,0.9978480193148961,CERNET2021_Normal,0,rrc04,origin_hijacks
1,0.0012322560909040002,1.3985036011467733e-05,0.102756327290245,1.91129291657926,3.506328228795189,4.903681232931289e-05,717.3830623115166,2.271827144954898,3.6689881826445703,71505,125360,13,-0.12214142029408001,0.9978486306034391,CERNET2021_Normal,0,rrc04,origin_hijacks
2,0.001232496774765,1.398484043297066e-05,0.10245109795754001,1.901812435320113,3.5060274662266098,4.9031920372374103e-05,717.2862715264002,2.270998237910105,3.661245210192151,71506,125351,13,-0.122135011518837,0.9978478589363221,CERNET2021_Normal,0,rrc04,origin_hijacks
3,0.001232195316387,1.3984840432970642e-05,0.10247110477965601,1.905909993566973,3.50616731463094,4.90338761573448e-05,717.4623509753552,2.2711380863144353,3.66745447934439,71506,125356,13,-0.12213677604025601,0.9978486189833271,CERNET2021_Normal,0,rrc04,origin_hijacks
4,0.001232115639036,1.398484043297066e-05,0.10255768561204401,1.90886079489833,3.506279193354403,4.903544078532135e-05,717.275910372405,2.271529661846558,3.66862920594076,71506,125360,13,-0.12212287349089401,0.997848030768765,CERNET2021_Normal,0,rrc04,origin_hijacks
5,0.001232272794306,1.398581838016254e-05,0.10250714532725601,1.905651669207423,3.506104809722941,4.9036430905215965e-05,717.2673725539528,2.271157046754591,3.6675431112851573,71501,125345,13,-0.12213088097046201,0.9978481214801821,CERNET2021_Normal,0,rrc04,origin_hijacks
6,0.001232260459019,1.398542718487336e-05,0.10261302209495701,1.9077800931429452,3.505755003286575,4.90301670343008e-05,717.2579282666545,2.271610981357425,3.666489517922325,71503,125336,13,-0.12214257893294402,0.9978482940525161,CERNET2021_Normal,0,rrc04,origin_hijacks
7,0.001232194840935,1.3985036011467733e-05,0.10241977431653,1.905013635410111,3.505712887210684,4.902820663474329e-05,717.1686945301166,2.271029997902245,3.667156142927068,71505,125338,13,-0.12213620383420201,0.9978480481043601,CERNET2021_Normal,0,rrc04,origin_hijacks
8,0.001232205242666,1.3984840432970652e-05,0.10246644649451,1.9060498419713032,3.505887617822281,4.902996458740341e-05,717.2368677710157,2.271152071154868,3.667132828014432,71506,125346,13,-0.122150832730228,0.997848325799858,CERNET2021_Normal,0,rrc04,origin_hijacks
9,0.00123216898436,1.3984644859943801e-05,0.102435589391191,1.904177213419665,3.505558896331827,4.9024681793581346e-05,717.188370628873,2.27098046345113,3.666060665389402,71507,125336,13,-0.12215577977646001,0.9978484261028191,CERNET2021_Normal,0,rrc04,origin_hijacks
10,0.001232596292214,1.398581838016253e-05,0.102544457676703,1.904113229185605,3.505853064992098,4.903290999988949e-05,717.2299872114311,2.271394805667053,3.661137606467042,71501,125336,13,-0.12215930707717601,0.9978481354599201,CERNET2021_Normal,0,rrc04,origin_hijacks
11,0.0012325963624020002,1.3984840432970652e-05,0.102586236473551,1.903784297821161,3.5060274662266098,4.9031920372374103e-05,717.2203371479321,2.271473722484826,3.660517998489637,71506,125351,13,-0.122161487075418,0.9978482397857821,CERNET2021_Normal,0,rrc04,origin_hijacks
